"Plopcom Unblocker","🔧 Plopcom Unblocker"
"Unblocker Settings","🔧 Réglages plopcom unblocker"
"Allowed Users"," 👌 Utilisateurs authorisés"
"Order","Commande"
"Invoice","Facture"
"Invoices","Factures"
"Shipments","Expéditions"
"Shipment","Expédition"
"Order items","Articles"
"Invoice qty fixed","La quantité facturée a été corrigée"
"This qty invoiced is too low, you should create a new invoice","La quantité facturée est trop basse, vous devez créer un nouvelle facture"
"This qty shipped is too low, you should create a new shipment","La quantité expédiée est trop basse, vous devez créer un nouvelle expédition"
"This item as not invoiced qty error","La quantité facturée pour ce produit est correcte"
"This item as not shipped qty error","La quantité expédiée pour ce produit est correcte"
"fix invoice qty ?","Êtes-vous sûr(e) de vouloir corriger la quantité facturée ?"
"fix invoice qty","Corriger la quantité facturée"
"fix ordered qty ?","Êtes-vous sûr(e) de vouloir corriger la quantité commandée à l'aide des quantités facturée et expédiée ?"
"fix ordered qty","Corriger la quantité commandée"
"fix shipped qty ?","Êtes-vous sûr(e) de vouloir corriger la quantité expédiée ?"
"fix shipped qty","Corriger la quantité expédiée"
"force invoice ?","Êtes-vous sûr(e) de vouloir forcer la facturation ?"
"invisible child item","Produit simple enfant invisible"
"cancel","annuler"
"remove shipment item ?","Supprimer ce produit de cette expédition ?"
"generate missing grid item","Générer la vue liste manquante"
"Everything seams ok","Tout semble en ordre"
"state should be %s (but is %s)","La commande devrait avoir les statut <strong>%s</strong>, mais a le statut <strong>%s</strong>"
"Order cannot change state for %s","La commande ne peut pas passer au satut %s"
"State and status changed","L'êtat et le statut ont été changés"
"Notify customer for change","Informer le client"
"Dispatch %s","Dispatcher l'événement %s"
"New status","Nouveau Statut"
"Change state and status","Corriger"
"Valid","Valide"
"Canceled","Annulé"